Red;Plantas;Animales;Enlaces;k máximo;k-degree medio;k-radius medio;NODF;Modularity;Diferencia de Areas
M_PL_001;84;101;361;4;1,560;3,010;14,460;0,450;0,080
M_PL_002;43;64;196;3;1,400;3,040;15,360;0,480;0,110
M_PL_003;36;25;81;2;0,930;3,310;19,190;0,570;0,020
M_PL_004;12;102;167;3;1,520;2,530;28,150;0,450;0,090
M_PL_005;96;275;923;8;2,540;2,800;14,740;0,240;0,140
M_PL_006;17;61;146;4;2,280;2,440;44,580;0,330;0,040
M_PL_007;16;36;85;3;1,680;2,510;31,540;0,360;0,120
M_PL_008;11;38;106;4;2,190;2,370;35,970;0,210;0,030
M_PL_009;24;118;242;4;1,540;2,810;15,390;0,440;0,160
M_PL_010;31;76;456;8;4,570;2,380;35,170;0,020;0,030
M_PL_011;14;13;52;3;2,270;2,160;54,590;0,290;0,000
M_PL_012;29;55;145;4;2,010;2,510;30,400;0,420;0,050
M_PL_013;9;56;103;4;1,960;2,400;34,250;0,380;0,140
M_PL_014;29;81;179;3;1,480;2,800;25,680;0,440;0,080
M_PL_015;131;666;2933;9;2,900;2,880;9,170;0,350;0,080
M_PL_016;26;179;412;5;1,880;2,730;21,980;0,420;0,150
M_PL_017;25;79;299;6;3,280;2,470;40,370;0,150;0,040
M_PL_018;39;105;383;5;2,260;2,740;19,730;0,240;0,110
M_PL_019;40;85;264;5;1,970;2,710;17,510;0,340;0,130
M_PL_020;20;91;190;4;1,840;2,560;37,120;0,390;0,090
M_PL_021;91;677;1193;5;1,230;3,060;7,550;0,580;0,210
M_PL_022;21;45;83;2;0,840;3,680;18,020;0,600;0,140
M_PL_023;23;72;125;3;1,350;2,750;22,880;0,540;0,140
M_PL_024;11;18;38;3;1,710;1,970;29,020;0,420;0,160
M_PL_025;13;44;143;5;3,400;2,130;46,020;0,160;0,000
M_PL_026;105;54;204;3;1,130;2,850;25,130;0,560;0,110
M_PL_027;18;60;120;3;1,200;2,960;13,940;0,550;0,190
M_PL_028;41;139;374;5;2,110;2,750;16,430;0,370;0,100
M_PL_029;49;118;346;5;1,940;2,760;15,770;0,410;0,120
M_PL_030;28;53;109;2;0,830;3,540;11,160;0,540;0,170
M_PL_031;48;49;156;4;1,570;3,390;12,340;0,540;0,050
M_PL_032;7;33;65;3;2,410;2,070;56,660;0,100;0,050
M_PL_033;13;34;141;5;3,400;2,240;29,500;0,070;0,040
M_PL_034;26;128;312;5;2,100;2,610;25,010;0,420;0,080
M_PL_035;61;36;178;4;1,740;2,850;25,740;0,430;0,000
M_PL_036;10;12;30;2;1,310;2,510;35,960;0,380;0,090
M_PL_037;10;40;72;3;1,370;2,700;23,160;0,440;0,140
M_PL_038;8;42;79;3;1,560;2,440;28,310;0,390;0,060
M_PL_039;17;51;129;4;1,990;2,610;25,340;0,450;0,120
M_PL_040;29;43;114;3;1,320;2,920;15,180;0,500;0,030
M_PL_041;31;43;145;4;2,110;2,510;25,300;0,350;0,110
M_PL_042;12;6;25;3;2,340;1,710;49,790;0,330;0,070
M_PL_043;28;82;250;4;1,990;2,710;22,170;0,290;0,100
M_PL_044;110;609;1125;4;1,120;3,360;4,920;0,570;0,220
M_PL_045;17;26;63;3;1,730;2,430;30,770;0,450;0,090
M_PL_046;16;44;278;8;6,450;1,960;63,600;-0,030;0,000
M_PL_047;19;186;425;6;2,310;2,560;29,960;0,290;0,090
M_PL_048;30;236;671;7;2,780;2,610;26,230;0,210;0,080
M_PL_049;37;225;590;6;2,080;2,760;18,130;0,380;0,140
M_PL_050;14;35;86;3;1,710;2,490;32,580;0,430;0,080
M_PL_051;14;90;164;4;2,130;2,340;26,960;0,450;0,100
M_PL_052;15;39;92;3;1,700;2,510;30,910;0,310;0,140
M_PL_053;99;294;589;3;0,920;3,800;4,710;0,580;0,200
M_PL_054;113;318;773;5;1,420;3,070;8,080;0,460;0,200
M_PL_055;64;195;431;4;1,290;3,130;8,710;0,520;0,190
M_PL_056;91;365;871;5;1,430;3,240;6,860;0,460;0,170
M_PL_057;114;883;1920;8;1,800;2,880;7,040;0,480;0,230
M_PL_058;32;81;319;6;3,030;2,480;26,640;0,220;0,060
M_PL_059;13;13;71;5;4,720;1,570;76,880;0,040;0,010
M_SD_001;7;21;50;3;2,330;2,160;40,770;0,180;0,060
M_SD_002;31;9;119;6;4,610;1,850;62,160;0,020;-0,020
M_SD_003;25;16;68;3;1,780;2,450;41,090;0,330;0,050
M_SD_004;34;20;95;4;2,370;2,190;39,820;0,350;0,010
M_SD_005;25;13;49;3;1,330;2,380;27,930;0,530;0,100
M_SD_006;21;15;51;3;1,510;2,350;32,790;0,450;0,080
M_SD_007;72;7;143;3;2,340;2,370;51,670;0,280;0,000
M_SD_008;16;10;110;7;6,560;1,480;56,330;-0,040;-0,010
M_SD_009;7;18;38;3;1,900;2,150;33,020;0,320;0,060
M_SD_010;50;14;234;6;4,480;2,140;42,130;0,040;-0,100
M_SD_011;11;14;47;3;2,140;2,170;45,410;0,310;0,030
M_SD_012;35;29;146;4;2,310;2,570;33,040;0,230;0,000
M_SD_013;36;19;197;7;4,380;2,310;37,370;0,330;-0,130
M_SD_014;16;17;121;5;5,160;1,870;78,760;0,080;-0,010
M_SD_015;5;27;86;4;4,250;1,650;67,340;0,030;-0,010
M_SD_016;24;61;500;11;8,400;2,010;58,840;0,000;0,010
M_SD_017;16;8;72;5;4,740;1,630;60,120;0,080;-0,040
M_SD_018;29;32;66;2;0,750;3,410;11,210;0,590;0,210
M_SD_019;169;40;666;7;3,230;2,620;32,870;0,330;-0,090
M_SD_020;25;33;150;5;3,070;2,310;53,550;0,130;-0,010
M_SD_021;18;28;129;5;3,460;2,190;61,520;0,180;-0,010
M_SD_022;207;110;1121;8;3,210;2,800;16,810;0,200;-0,010
M_SD_023;15;8;38;3;2,300;2,030;66,800;0,220;0,000
M_SD_024;12;7;40;3;2,500;1,990;56,830;0,120;-0,020
M_SD_025;7;6;22;3;2,410;1,690;66,670;0,190;0,000
M_SD_026;3;3;6;2;1,830;1,330;100,000;0,170;0,000
M_SD_027;12;4;31;4;3,450;1,530;73,610;0,000;0,000
M_SD_028;8;5;26;4;3,650;1,380;89,470;0,020;0,000
M_SD_029;4;5;10;2;1,980;1,520;81,250;0,270;0,000
M_SD_030;5;4;11;2;2,240;1,500;66,670;0,230;0,000
